Week,Cases of acute respiratory infections,Cases of severe acute respiratory infections
2009-01-05,,
2009-01-12,,
2009-01-19,,
2009-01-26,,
2009-02-02,,
2009-02-09,,
2009-02-16,,
2009-02-23,,
2009-03-02,,
2009-03-09,,
2009-03-16,,
2009-03-23,,
2009-03-30,,
2009-04-06,,
2009-04-13,,
2009-04-20,,
2009-04-27,,
2009-05-04,,
2009-05-11,,
2009-05-18,,
2009-05-25,,
2009-06-01,,
2009-06-08,,
2009-06-15,,
2009-06-22,,
2009-06-29,,
2009-07-06,,
2009-07-13,,
2009-07-20,,
2009-07-27,,
2009-08-03,,
2009-08-10,,
2009-08-17,,
2009-08-24,,
2009-08-31,,
2009-09-07,,
2009-09-14,,
2009-09-21,,
2009-09-28,,
2009-10-05,,
2009-10-12,,
2009-10-19,,
2009-10-26,,
2009-11-02,,
2009-11-09,,
2009-11-16,,
2009-11-23,,
2009-11-30,,
2009-12-07,,
2009-12-14,,
2009-12-21,,
2009-12-28,,
2010-01-04,561481,
2010-01-11,620314,
2010-01-18,654314,
2010-01-25,649809,
2010-02-01,553197,
2010-02-08,652821,
2010-02-15,645598,
2010-02-22,661149,
2010-03-01,658121,
2010-03-08,630447,
2010-03-15,551735,
2010-03-22,546076,
2010-03-29,409190,
2010-04-05,478043,
2010-04-12,421318,
2010-04-19,451184,
2010-04-26,449726,
2010-05-03,451046,
2010-05-10,395827,
2010-05-17,0,
2010-05-24,399198,
2010-05-31,417378,
2010-06-07,406706,
2010-06-14,388388,
2010-06-21,389829,
2010-06-28,360152,
2010-07-05,345039,
2010-07-12,0,
2010-07-19,331510,
2010-07-26,314796,
2010-08-02,352956,
2010-08-09,358212,
2010-08-16,397982,
2010-08-23,415476,
2010-08-30,508768,
2010-09-06,589783,
2010-09-13,447775,
2010-09-20,554305,
2010-09-27,555544,
2010-10-04,644673,
2010-10-11,629464,
2010-10-18,642351,
2010-10-25,595134,
2010-11-01,578731,
2010-11-08,695530,
2010-11-15,662922,
2010-11-22,754297,
2010-11-29,770735,
2010-12-06,853985,
2010-12-13,813923,
2010-12-20,695790,
2010-12-27,644161,
2011-01-03,602559,
2011-01-10,646807,
2011-01-17,660252,
2011-01-24,676604,
2011-01-31,650403,
2011-02-07,609010,
2011-02-14,654813,
2011-02-21,634374,
2011-02-28,585103,
2011-03-07,585023,
2011-03-14,564633,
2011-03-21,508778,
2011-03-28,529041,
2011-04-04,505832,
2011-04-11,461599,
2011-04-18,356316,
2011-04-25,413574,
2011-05-02,387633,
2011-05-09,374649,
2011-05-16,417293,
2011-05-23,416319,
2011-05-30,410157,
2011-06-06,415883,
2011-06-13,392318,
2011-06-20,375111,
2011-06-27,0,
2011-07-04,344928,
2011-07-11,348501,
2011-07-18,0,
2011-07-25,324062,
2011-08-01,320936,
2011-08-08,326520,
2011-08-15,0,
2011-08-22,327738,
2011-08-29,0,
2011-09-05,0,
2011-09-12,0,
2011-09-19,0,
2011-09-26,0,
2011-10-03,530097,
2011-10-10,481169,
2011-10-17,0,
2011-10-24,552309,
2011-10-31,524159,
2011-11-07,0,
2011-11-14,0,
2011-11-21,0,
2011-11-28,0,
2011-12-05,594154,
2011-12-12,0,
2011-12-19,0,
2011-12-26,505521,
2012-01-02,0,
2012-01-09,679223,
2012-01-16,718578,
2012-01-23,744688,
2012-01-30,715798,
2012-02-06,643668,
2012-02-13,623946,
2012-02-20,645399,
2012-02-27,606096,
2012-03-05,593438,
2012-03-12,550375,
2012-03-19,493582,
2012-03-26,482861,
2012-04-02,364151,
2012-04-09,433271,
2012-04-16,392349,
2012-04-23,418391,
2012-04-30,384080,
2012-05-07,377996,
2012-05-14,431258,
2012-05-21,429392,
2012-05-28,410195,
2012-06-04,410283,
2012-06-11,405446,
2012-06-18,391677,
2012-06-25,374002,
2012-07-02,371212,
2012-07-09,378738,
2012-07-16,356700,
2012-07-23,336354,
2012-07-30,330020,
2012-08-06,6372,
2012-08-13,335825,
2012-08-20,350236,
2012-08-27,428541,
2012-09-03,517800,
2012-09-10,531331,
2012-09-17,542380,
2012-09-24,503974,
2012-10-01,539986,
2012-10-08,562602,
2012-10-15,558272,
2012-10-22,555848,
2012-10-29,535440,
2012-11-05,603538,
2012-11-12,601610,
2012-11-19,583811,
2012-11-26,634731,
2012-12-03,662816,
2012-12-10,604731,
2012-12-17,534464,
2012-12-24,466832,
2012-12-31,481107,
2013-01-07,651752,
2013-01-14,678986,
2013-01-21,718682,
2013-01-28,692012,
2013-02-04,633305,
2013-02-11,669834,
2013-02-18,686628,
2013-02-25,632348,
2013-03-04,636686,
2013-03-11,604048,
2013-03-18,490643,
2013-03-25,388637,
2013-04-01,456784,
2013-04-08,439053,
2013-04-15,441943,
2013-04-22,444609,
2013-04-29,412151,
2013-05-06,432615,
2013-05-13,444765,
2013-05-20,412403,
2013-05-27,384010,
2013-06-03,388850,
2013-06-10,395731,
2013-06-17,398640,
2013-06-24,392076,
2013-07-01,389605,
2013-07-08,389646,
2013-07-15,377556,
2013-07-22,347455,
2013-07-29,336876,
2013-08-05,336682,
2013-08-12,334404,
2013-08-19,350727,
2013-08-26,404202,
2013-09-02,492703,
2013-09-09,510966,
2013-09-16,466330,
2013-09-23,512794,
2013-09-30,545768,
2013-10-07,595840,
2013-10-14,588354,
2013-10-21,592841,
2013-10-28,542078,
2013-11-04,588299,
2013-11-11,576734,
2013-11-18,531364,
2013-11-25,582029,
2013-12-02,621144,
2013-12-09,585683,
2013-12-16,540459,
2013-12-23,425052,
2013-12-30,484903,
2014-01-06,634081,
2014-01-13,706850,
2014-01-20,768704,
2014-01-27,763921,
2014-02-03,661798,
2014-02-10,688276,
2014-02-17,691155,
2014-02-24,610851,
2014-03-03,580043,
2014-03-10,550865,
2014-03-17,500274,
2014-03-24,507723,
2014-03-31,506723,
2014-04-07,494698,
2014-04-14,368504,
2014-04-21,422274,
2014-04-28,353625,
2014-05-05,376923,
2014-05-12,418926,
2014-05-19,461834,
2014-05-26,428345,
2014-06-02,430169,
2014-06-09,406463,
2014-06-16,408017,
2014-06-23,392670,
2014-06-30,408743,
2014-07-07,403059,
2014-07-14,391048,
2014-07-21,370834,
2014-07-28,336066,
2014-08-04,326775,
2014-08-11,329343,
2014-08-18,339253,
2014-08-25,405860,
2014-09-01,405860,
2014-09-08,461112,
2014-09-15,525768,
2014-09-22,453234,
2014-09-29,511003,
2014-10-06,495686,
2014-10-13,542271,
2014-10-20,566234,
2014-10-27,550016,
2014-11-03,568618,
2014-11-10,591743,
2014-11-17,586180,
2014-11-24,568957,
2014-12-01,633956,
2014-12-08,681262,
2014-12-15,650805,
2014-12-22,603877,
2014-12-29,484903,
2015-01-05,505663,583
2015-01-12,631906,666
2015-01-19,663999,597
2015-01-26,707171,616
2015-02-02,676997,664
2015-02-09,595469,569
2015-02-16,659601,494
2015-02-23,640610,441
2015-03-02,610135,341
2015-03-09,580249,382
2015-03-16,549841,337
2015-03-23,475970,236
2015-03-30,462216,267
2015-04-06,358028,238
2015-04-13,423775,269
2015-04-20,398978,223
2015-04-27,392656,253
2015-05-04,353278,270
2015-05-11,386684,247
2015-05-18,391319,230
2015-05-25,387073,262
2015-06-01,375476,210
2015-06-08,375012,203
2015-06-15,377565,192
2015-06-22,354715,225
2015-06-29,353541,248
2015-07-06,342639,288
2015-07-13,354534,206
2015-07-20,347229,224
2015-07-27,328532,185
2015-08-03,303942,234
2015-08-10,293154,233
2015-08-17,292450,196
2015-08-24,294411,238
2015-08-31,288771,257
2015-09-07,359613,237
2015-09-14,432900,259
2015-09-21,388829,323
2015-09-28,451678,368
2015-10-05,456545,377
2015-10-12,485969,400
2015-10-19,481918,388
2015-10-26,481632,414
2015-11-02,445103,332
2015-11-09,461206,394
2015-11-16,497150,440
2015-11-23,460581,434
2015-11-30,518020,468
2015-12-07,532175,449
2015-12-14,547516,360
2015-12-21,485593,454
2015-12-28,394771,0
2016-01-04,478924,529
2016-01-11,525174,581
2016-01-18,588323,730
2016-01-25,629373,840
2016-02-01,600098,1175
2016-02-08,715298,1688
2016-02-15,763882,2565
2016-02-22,799877,3219
2016-02-29,732685,2664
2016-03-07,633262,1923
2016-03-14,525454,1311
2016-03-21,348415,722
2016-03-28,422634,697
2016-04-04,409508,584
2016-04-11,415138,473
2016-04-18,430174,394
2016-04-25,419482,373
2016-05-02,411612,338
2016-05-09,358544,256
2016-05-16,375683,297
2016-05-23,357409,259
2016-05-30,353336,240
2016-06-06,372626,223
2016-06-13,353740,231
2016-06-20,364845,210
2016-06-27,344464,254
2016-07-04,350172,218
2016-07-11,326580,220
2016-07-18,320357,219
2016-07-25,287583,196
2016-08-01,277858,192
2016-08-08,269804,216
2016-08-15,269356,227
2016-08-22,294851,196
2016-08-29,367499,242
2016-09-05,450089,266
2016-09-12,383480,209
2016-09-19,448836,280
2016-09-26,409740,290
2016-10-03,429083,265
2016-10-10,448513,378
2016-10-17,462848,383
2016-10-24,437720,360
2016-10-31,415618,435
2016-11-07,463977,467
2016-11-14,455245,392
2016-11-21,464737,501
2016-11-28,498496,582
2016-12-05,478355,540
2016-12-12,433457,555
2016-12-19,409229,572
2016-12-26,402288,659
2017-01-02,501095,779
2017-01-09,564532,756
2017-01-16,606119,883
2017-01-23,654472,1097
2017-01-30,630235,1138
2017-02-06,626856,1397
2017-02-13,660349,1322
2017-02-20,697085,1481
2017-02-27,659724,1678
2017-03-06,663604,1588
2017-03-13,621416,1191
2017-03-20,573538,1052
2017-03-27,576005,946
2017-04-03,527191,688
2017-04-10,405428,387
2017-04-17,457867,495
2017-04-24,418411,346
2017-05-01,375671,304
2017-05-08,416687,270
2017-05-15,438010,301
2017-05-22,420036,276
2017-05-29,404443,225
2017-06-05,418027,260
2017-06-12,413974,208
2017-06-19,410512,229
2017-06-26,392153,205
2017-07-03,392149,217
2017-07-10,374615,221
2017-07-17,375169,243
2017-07-24,361262,253
2017-07-31,331413,201
2017-08-07,327292,176
2017-08-14,329959,157
2017-08-21,343683,167
2017-08-28,401521,165
2017-09-04,487440,232
2017-09-11,495598,221
2017-09-18,527499,204
2017-09-25,486214,263
2017-10-02,473586,276
2017-10-09,488252,314
2017-10-16,521784,366
2017-10-23,533182,391
2017-10-30,483876,338
2017-11-06,544432,350
2017-11-13,536337,271
2017-11-20,536973,297
2017-11-27,584711,305
2017-12-04,577319,336
2017-12-11,581049,392
2017-12-18,494346,308
2017-12-25,514992,310
2018-01-01,527679,154
2018-01-08,648300,195
2018-01-15,672728,235
2018-01-22,706863,271
2018-01-29,636584,245
2018-02-05,570324,229
2018-02-12,581180,201
2018-02-19,580628,203
2018-02-26,531047,191
2018-03-05,564441,195
2018-03-12,550288,186
2018-03-19,479984,174
2018-03-26,396706,130
2018-04-02,447062,131
2018-04-09,420620,115
2018-04-16,436334,117
2018-04-23,412556,118
2018-04-30,376045,88
2018-05-07,390339,96
2018-05-14,411752,103
2018-05-21,394856,96
2018-05-28,383450,97
2018-06-04,368127,96
2018-06-11,356926,74
2018-06-18,351992,99
2018-06-25,346265,85
2018-07-02,345307,91
2018-07-09,348257,128
2018-07-16,341158,128
2018-07-23,321125,111
2018-07-30,291089,92
2018-08-06,290174,87
2018-08-13,0,74
2018-08-20,0,79
2018-08-27,0,72
2018-09-03,0,85
2018-09-10,0,100
2018-09-17,0,85
2018-09-24,0,104
2018-10-01,0,129
2018-10-08,0,142
2018-10-15,0,138
2018-10-22,0,198
2018-10-29,0,192
2018-11-05,0,239
2018-11-12,0,248
2018-11-19,0,313
2018-11-26,0,299
2018-12-03,0,324
2018-12-10,0,321
2018-12-17,0,339
2018-12-24,0,319
2018-12-31,497784,414
2019-01-07,0,602
2019-01-14,0,567
2019-01-21,0,503
2019-01-28,0,582
2019-02-04,0,528
2019-02-11,0,531
2019-02-18,0,433
2019-02-25,0,431
2019-03-04,0,385
2019-03-11,0,357
2019-03-18,0,339
2019-03-25,0,292
2019-04-01,0,276
2019-04-08,0,231
2019-04-15,0,177
2019-04-22,0,177
2019-04-29,0,140
2019-05-06,0,111
2019-05-13,0,120
2019-05-20,0,136
2019-05-27,0,103
2019-06-03,0,102
2019-06-10,0,95
2019-06-17,0,74
2019-06-24,0,86
2019-07-01,0,92
2019-07-08,0,86
2019-07-15,0,91
2019-07-22,0,84
2019-07-29,0,76
2019-08-05,0,73
2019-08-12,0,77
2019-08-19,0,84
2019-08-26,0,97
2019-09-02,0,107
2019-09-09,0,89
2019-09-16,0,137
2019-09-23,0,155
2019-09-30,0,167
2019-10-07,0,207
2019-10-14,0,176
2019-10-21,0,198
2019-10-28,0,233
2019-11-04,0,277
2019-11-11,0,313
2019-11-18,0,253
2019-11-25,0,307
2019-12-02,0,284
2019-12-09,0,317
2019-12-16,0,298
2019-12-23,0,244
2019-12-30,0,54
2020-01-06,0,286
2020-01-13,0,356
2020-01-20,0,360
2020-01-27,0,358
2020-02-03,0,353
2020-02-10,0,373
2020-02-17,0,318
2020-02-24,0,332
2020-03-02,0,296
2020-03-09,0,262
2020-03-16,0,344
2020-03-23,0,424
2020-03-30,0,501
2020-04-06,0,843
2020-04-13,0,1136
2020-04-20,0,1754
2020-04-27,0,2102
2020-05-04,0,2202
2020-05-11,0,2449
2020-05-18,0,2674
2020-05-25,0,2762
2020-06-01,0,2969
2020-06-08,0,2988
2020-06-15,0,3271
2020-06-22,0,3276
2020-06-29,0,3227
2020-07-06,0,3361
2020-07-13,0,3493
2020-07-20,0,3368
2020-07-27,0,3177
2020-08-03,0,2854
2020-08-10,0,2750
2020-08-17,0,2380
2020-08-24,0,2421
2020-08-31,0,2204
2020-09-07,0,2043
2020-09-14,0,1839
2020-09-21,0,1823
2020-09-28,0,1963
2020-10-05,0,1843
2020-10-12,0,2027
2020-10-19,0,2083
2020-10-26,0,1844
2020-11-02,0,2108
2020-11-09,0,2324
2020-11-16,0,2247
2020-11-23,0,2392
2020-11-30,0,2559
2020-12-07,0,2917
2020-12-14,0,2963
2020-12-21,0,2996
2020-12-28,0,3271
2021-01-04,0,11582
2021-01-11,0,12299
2021-01-18,0,11030
2021-01-25,0,8789
2021-02-01,0,8202
2021-02-08,0,6581
2021-02-15,0,6321
2021-02-22,0,5313
2021-03-01,0,6149
2021-03-08,0,4729
2021-03-15,0,5092
2021-03-22,0,4278
2021-03-29,0,4458
2021-04-05,0,4536
2021-04-12,0,3987
2021-04-19,0,3990
2021-04-26,0,3793
2021-05-03,0,3059
2021-05-10,0,3213
2021-05-17,0,3035
2021-05-24,0,2826
2021-05-31,0,3125
2021-06-07,0,3292
2021-06-14,0,3272
2021-06-21,0,3586
2021-06-28,0,4346
2021-07-05,0,5555
2021-07-12,0,6680
2021-07-19,0,8395
2021-07-26,0,8853
2021-08-02,0,9483
2021-08-09,0,9450
2021-08-16,0,9269
2021-08-23,0,7571
2021-08-30,0,7177
2021-09-06,0,6477
2021-09-13,0,5569
2021-09-20,0,5004
2021-09-27,0,4561
2021-10-04,0,3934
2021-10-11,0,3873
2021-10-18,0,3450
2021-10-25,0,3093
2021-11-01,0,3386
2021-11-08,0,3220
2021-11-15,0,3300
2021-11-22,0,3012
2021-11-29,0,3249
2021-12-06,0,3029
2021-12-13,0,2964
2021-12-20,0,2991
2021-12-27,0,3373
2022-01-03,383709,7149
2022-01-10,429890,9452
2022-01-17,420730,9589
2022-01-24,365221,7939
2022-01-31,283625,6307
2022-02-07,220832,4344
2022-02-14,201181,3459
2022-02-21,188465,2562
2022-02-28,175613,2534
2022-03-07,191300,2120
2022-03-14,207486,1959
2022-03-21,210198,1834
2022-03-28,236203,1794
2022-04-04,225136,1609
2022-04-11,158922,1393
2022-04-18,191979,1412
2022-04-25,194086,1225
2022-05-02,217280,1243
2022-05-09,229063,1201
2022-05-16,279970,1333
2022-05-23,283783,1203
2022-05-30,271244,1413
2022-06-06,290527,1740
2022-06-13,289722,1977
2022-06-20,309918,2663
2022-06-27,326899,3186
2022-07-04,358989,3626
2022-07-11,363523,3809
2022-07-18,327965,3343
2022-07-25,272289,2539
2022-08-01,229580,2154
2022-08-08,205978,1651
2022-08-15,187801,1388
2022-08-22,185681,1293
2022-08-29,191786,1346
2022-09-05,276687,1362
2022-09-12,311007,1205
2022-09-19,410387,1301
2022-09-26,369987,1182
2022-10-03,369023,1131
2022-10-10,368397,1171
2022-10-17,376560,1182
2022-10-24,383892,1231
2022-10-31,377321,1502
2022-11-07,473788,1692
2022-11-14,483537,1602
2022-11-21,466748,1883
2022-11-28,500292,1973
2022-12-05,516912,2154
2022-12-12,459618,2164
2022-12-19,0,2363
2022-12-26,0,0
2023-01-02,259172,2274
2023-01-09,268468,1877
2023-01-16,272452,1853
2023-01-23,269124,1702
2023-01-30,253667,1401
2023-02-06,239837,1483
2023-02-13,252828,1336
2023-02-20,251274,1339
2023-02-27,233625,1279
2023-03-06,235638,1287
2023-03-13,223249,1125
2023-03-20,206336,1301
2023-03-27,201833,1093
2023-04-03,146627,847
2023-04-10,180321,983
2023-04-17,185148,913
2023-04-24,184760,777
2023-05-01,188426,934
2023-05-08,198182,843
2023-05-15,208189,889
2023-05-22,204209,810
2023-05-29,192208,806
2023-06-05,,792
2023-06-12,,755
2023-06-19,,771
2023-06-26,,714
2023-07-03,,750
2023-07-10,,677
2023-07-17,,665
2023-07-24,,645
2023-07-31,,754
2023-08-07,,728
2023-08-14,,708
2023-08-21,,832
2023-08-28,,816
2023-09-04,,915
2023-09-11,,992
2023-09-18,,1094
2023-09-25,,958
2023-10-02,,1057
2023-10-09,,981
2023-10-16,,1135
2023-10-23,,1205
2023-10-30,,1254
2023-11-06,,1342
2023-11-13,,1200
2023-11-20,,1515
2023-11-27,,1574
2023-12-04,,1595
2023-12-11,,1691
2023-12-18,,1448
2023-12-25,,331
2024-01-01,,
2024-01-08,,
2024-01-15,,
2024-01-22,,
2024-01-29,,
2024-02-05,,
